municipio_id,municipio_nombre,localidad,nombre_agrupamiento_promotor,tipologia,iniciativa,tipo_segun_origen,numero_decreto,numero_decreto_de_ampliacion,ubicacion,latitud,longitud,nombre_de_contacto,institucion,telefono,mail_1,mail_2,superficie_hectareas,cantidad_lotes_parcelas,lotes_parcelas_disponibles,reglamento_interno,area_de_reserva,infraestructura_basica,servicio_ adicionales,centro_de_capacitación_en_el_agrupamiento,vinculación_con_un_centro_de_formación_externo,numero_empresas,numero_empleados_estimado,seccion_electoral,interior_conurbano,
060196,Coronel Pringles,Coronel Pringles,SIP Coronel Pringles,Sector industrial,Oficial,Originario,"536/88",N/C,Boulevard 40 a metros de la Ruta Provincial 51(Presbítero Pedro Amin),-38.006307,-61.346038,Oscar Rossi,"Dirección de Producción, asuntos rurales y turismo",(02922) 46-5490 / 46-6166 / (02923) 15 57-1666,produccion@coronelpringles.gov.ar,s/d,20,37,Si,No,Si,"Consolidado de calles, energía, cerco perimetral, banda de forestación, desagües industriales y pluviales, comunicaciones, alumbrado publico, agua, servicios comunes",Casilla de vigilancia,No,Si,7,150,6ta. sección,Interior,
060203,Coronel Suárez,Coronel Suárez,PI Coronel Suárez,Parque industrial,Oficial,Originario,"634/80",N/C,Avenida Circunvalación Juan Salvi N° 950 (7540) - R Prov. N°85 y R.Prov. N°67,-37.474858084971,-61.8868446350097,Juan Fidelle,Secretaría de Producción,(02926) 42-9270,juan.fidelle@coronelsuarez.gob.ar,comunicaciones@coronelsuarez.gob.ar,51,55,Si,No,Si,"Pavimento, consolidado de calles, energía, cerco perimetral, banda de forestación, desagües pluviales, comunicaciones, alumbrado publico, agua, servicios comunes",Seguridad privada,No,"Si, INTA",15,250,6ta. sección,Interior,
060231,Daireaux,Daireaux,SIP Daireaux,Sector industrial,Oficial,Originario,"1085/05",N/C,Av. Pedro y Piedad Balbuena s/n,-36.595914,-61.731722,Ing. Walter Martin - Gustavo Tobaldo (Coord. SIP),Secretaría de Desarrollo - Obras Publicas,(02316) 453-636 / 453463 / 45-2135 / 2226 (02314)15 404-990 // (02324)15 553-401,parqueindustrialdx@gmail.com,taquifi@yahoo.com.ar,21.7,44,Si,No,Si,"Pavimento, consolidado de calles, energía, cerco perimetral, banda de forestación, desagües pluviales, comunicaciones, alumbrado publico, gas parcialmente, agua, servicios comunes",Seguridad municipal,No,No,20,700,6ta. sección,Interior,
060238,Dolores,Dolores,SIP Dolores,Sector industrial,Oficial,Originario,3707/90,N/C,Acceso pavimentado a 1 km de Ruta Nacional Nº 2. Calle Domingo Negri s/n,-34.63235,-59.395742,Graciela Suárez (Dir de Industria),Dirección de Producción,(02245) 44-6580 / 446060 int. 159 // (02245) 15 50-8246,suarez_graciela@yahoo.com.ar,produccion@dolores.gov.ar,43,32,Si,No,Si,"Pavimento, consolidado de calles, energía, cerco perimetral, desagües industriales, comunicaciones, alumbrado público, agua, cloaca, servicios comunes",Vivero,s/d,s/d,6,120,5ta. sección,Interior,
060252,Escobar,Garín,PIP CIPO,Parque industrial,Privado,Parcelamiento preexistente,"29/95",N/C,Acceso Norte - Ramal Campana. Avenida Einstein y Gral.Savio,-34.4958333333,-58.8519444444,Ricardo Andrés Aspiroz Cosa / Julia Gambeti,Cámara de Industriales del Parque OKS,(03488) 471261 (03327) 452545,cipo@parquecipo.com.ar,s/d,70,35,Si,s/d,s/d,"Pavimento, energía, , desagües industriales y pluviales, comunicaciones, alumbrado público, gas, servicios comunes","Banco, confitería, restaurant, administración, oficina de correo",s/d,s/d,50,2400,1ra. sección,Conurbano,
060270,Ezeiza,Canning,Novaterra ( Canning 1 ),Parque industrial,Privado,Originario,"2735/10",N/C,Perito Moreno 375 e/ Ñandubay y las Vías del FCGB,-34.9636111111,-58.5980555556,Rubén y Yamila Ramos (propietario) / Daniel Benítez (subsec de planeamiento),Nova Terra Emprendimientos Inmobiliarios,(011) 2078-1180 // 011 49255952 - 15-3160-3560,comunicaciones@canningindustrial.com.ar,s/d,9.75,s/d,Si,s/d,s/d,"Pavimento, energía, cerco perimetral, banda de forestación , desagües industriales y pluviales, comunicaciones, alumbrado público, gas, agua, cloacas, servicios comunes","Seguridad privada, cabina de control, oficina administrativa, salón de usos múltiples, centro de convenciones",s/d,s/d,40,1800,3ra. sección,Conurbano,
060270,Ezeiza,Canning,Novaterra ( Canning 2),Parque industrial,Privado,Originario,485/18,N/C,Perito Moreno 375 e/ Ñandubay y las Vías del FCGB,-34.876082,-58.526988,Rubén y Yamila Ramos (propietario) / Daniel Benítez (subsec de planeamiento),Nova Terra Emprendimientos Inmobiliarios,(011) 2078-1180 // 011 49255952 - 15-3160-3560,comunicaciones@canningindustrial.com.ar,s/d,9.75,s/d,No,SI,Si,"Pavimento y consolidado de calles, energía, cerco perimetral, banda de forestación , desagües industriales y pluviales, comunicaciones, alumbrado público, gas, agua, servicios comunes",Seguridad privada,No,No,12,600,3ra. sección,Conurbano,
060274,Florencio Varela,Florencio Varela,SIP Florencio Varela,Sector industrial,Mixto promocional,Parcelamiento preexistente,615/15,N/C,Calle 1236 entre vías del FFCC y rotonda de Alpargatas,-34.84808,-58.19291,Sebastián Álvarez Hayes / Analía Tisera,Instituto para el Desarrollo del Agrupamiento Industrial (IDAI),(11) 4237-1601,sebastianalvarezhayes@gmail.com,analiaetisera@florenciovarela.gov.ar,73,85,Si,SI,Si,"Pavimento y consolidado, energía, cerco perimetral, banda de forestación , desagües industriales y pluviales, comunicaciones, alumbrado público, gas, agua, cloacas, servicios comunes",s/d,s/d,s/d,12,600,3ra. sección,Conurbano,
060280,General Alvarado,Miramar,SIP Miramar,Sector industrial,Oficial,Originario,3387/18,N/C,Ruta 77 Km 5,-38.2388082976224,-57.8686948288784,Sebastián Ianantuony,Secretaría de Producción,(02291) 43-0534,producción@mga.gov.ar,s/d,18,31,Si,Si,s/d,"Consolidado de calles, energía, cerco, banda de forestación,desagües pluviales, gas , alumbrado público, agua",Vigilancia,s/d,s/d,s/d,s/d,5ta. sección,Interior,
060343,General Paz,Ranchos, SIP General Paz,Sector industrial,Oficial,Originario,8769/86,N/C,Sobre la Ruta Provincial Nº 29. Km 43 y Acceso a la ciudad de Ranchos,-35.50977,-58.345161,Fernando Elichabe,Secretaría de Producción,(02241) 475306 / 475411,felichabe@yahoo.com.ar,s/d,80,75,Si,No,s/d,"Pavimento y consolidado, energía, banda de forestación , desagües pluviales, comunicaciones, alumbrado público, gas, agua,",s/d,s/d,s/d,21,500,5ta. sección,Interior,
060351,General Pinto,General Pinto,SIP General Pinto,Sector industrial,Oficial,Originario,629/90,N/C,Ruta Nacional Nº 188 Número 256. a 4 km de la cabecera,-34.797463,-61.867193,Ariel Yapur / Sra. Liliana Gariboldi,Subsecretaría de Promoción Industrial y Desarrollo Local,(02356)42-0001// 42-9024,produccion@pinto.gob.ar,turismo@pinto.gob.ar,10,25,Si,No,Si,"Consolidado de calles, energía, cerco banda de forestación, comunicaciones, agua.",s/d,No,Si,5,80,4ta. sección,Interior,
060357,General Pueyrredón,General Pueyrredón, PI General Pueyrredón,Parque industrial,Oficial,Originario,898/75,N/C,Ruta Provincial N° 88 Kilómetro 6 (7601).a 9.5 Km de Mar del Plata,-38.0369444444,-57.7927777778,Sebastián Prats,Unidad de Gestión,(0223) 499-6501/6460/6534,produ@mardelplata.gov.ar,sprats@mardelplata.gov.ar,126,80,Si,SI,Si,"Pavimento ,energía, cerco perimetral, banda de forestación , desagües industriales y pluviales, comunicaciones, alumbrado público, gas, agua, cloacas, servicios comunes",Seguridad privada,"Si, INTA",s/d,62,2800,5ta. sección,Interior,
060364,General Rodríguez,Gral. Rodríguez,PI Polo Industrial,Parque industrial,Privado,Originario,"579/15",N/C,Ruta Provincial 24 esquina Corrientes,-34.636956,-58.94582,Agustín Figueiredo,Polo Industrial Gral. Rodríguez,15 3010-9869,info@poloindustrialgr.com.ar,afigueiredo@poloindustrialgr.com.ar,40,55,Si,s/d,Si,s/d,s/d,s/d,s/d,30,900,1ra. sección,Conurbano,
060364,General Rodríguez,Gral. Rodríguez,SIP General Rodríguez,Sector industrial,Oficial,Originario,"2961/06",N/C,Ruta Provincial Nº 24 y calle Corrientes,-34.596549,-58.898284,Karina Mitre,"Secretaría de Producción, Desarrollo y Política Ambiental",(011) 15 5524 1273 // 0800-666-4334 // (0237) 484-0123 int 125,sipla@argentina.com,sec_prodgr@argentina.com,40,55,Si,s/d,Si,s/d,s/d,s/d,s/d,27,1300,1ra. sección,Conurbano,
060371,General San Martín,José León Suarez,PI Parque Suárez,Parque industrial,Privado,Refuncionalización,"434/04",N/C,Av. Brig. Gral. Juan Manuel de Rosas N° 2969,-34.5463888889,-58.6780555556,José Godino,Gerencia Parque Industrial,(011) 4720-2200,info@parquesuarez.com.ar,s/d,5.5,s/d,s/d,s/d,s/d,"Pavimento, energía, cerco, comunicaciones, alumbrado público, gas, agua.","Baños y vestuarios, confitería, vigilancia",s/d,s/d,45,1800,1ra. sección,Conurbano,
060371,General San Martín,Villa Coronel Zapiola,PI Newton,Parque industrial,Privado,Refuncionalización,"391/15",N/C,Ex Ruta 8. Calle Gral. Roca Nº4701/85 - 4801/17. calle Cuba Nº4698. Villa Coronel Zapiola. General San Martín,-34.334678,-58.342655,Cristian Pacho,Zona 1 Depósitos Industriales,4767-3889 / 4847-0722 // 4855 4404,consultas@zonna1.com,gerencia@zonna1.com,9.9,s/d,s/d,Si,s/d,"Pavimento , consolidado de calles, energía, cerco perimetral, banda de forestación , desagües industriales y pluviales, comunicaciones, alumbrado público, gas, agua, cloacas, servicios comunes",Seguridad privada,s/d,s/d,22,900,1ra. sección,Conurbano,
060406,Hipólito Yrigoyen,Henderson,(SIP) Hipólito Yrigoyen,Sector industrial,Oficial,Originario,3490/91,N/C,Sobre la Ruta Provincial Nº 86 y acceso a Henderson,-36.306561,-61.747776,Andrés Avila,Dirección de Desarrollo Local,(02314) 45-1096 // 15621504,desarrollohenderson@gmail.com,subcom@yrigoyen.mun.gba.gov.ar,7,12,Si,No,No,"Asfalto, energía, cero, banda de forestación, desagües pluviales, comunicaciones, alumbrado público, gas, agua, cloacas, servicios comunes","vigilancia, patrulla rural",No,No,9,150,4ta. sección,Interior,
060408,Hurlingham,Hurlingham,PI y Logístico Good Park S.A.,Parque industrial,Privado,Refuncionalización,"857/13",N/C,calles Ocampo - Gaboto - Rodríguez y Vías del Ferrocarril (Línea San Martín),-34.5975959061604,-58.621488365084,Fabián Fitipaldi,Good Park S.A.,(011) 4739-2121,info@goodpark.com.ar,fabfitt@hotmail.com,24,s/d,Si,SI,Si,"Pavimento, energía, cerco perimetral, desagües pluviales, comunicaciones, gas, agua, cloacas,",s/d,s/d,s/d,9,600,1ra. sección,Conurbano,
060413,Junín,Junín,Parque Industrial Arturo Frondizi,Parque industrial,Oficial,Originario,"1597/79",N/C,Av. Alvear nº 1900. sobre RN 188. km 163.5; a 500 mts de la Av. de Circunvalación. frente al Aeroparque Junín,-34.62,-60.9413888889,Daniel Coria / Matías Senigagliesi,Subsecretaría Económica y producción,(0236) 463-3636,danielcoria@junin.gob.ar,parqueindustrial@junin.gob.ar,105,75,No,SI,Si,"Pavimento y consolidado de calles, energía, cerco perimetral, banda de forestación, desagües pluviales, comunicaciones, alumbrado público, gas, agua, servicios comunes","Seguridad Provincial, Servicio contra incendio. Servicio de vigilancia y puesto de Seguridad. Sala de primeros auxilios. Control de accesos. Edificio de administración.Guardería",No,No,62,2000,4ta. sección,Interior,
060427,La Matanza,Virrey del Pino,"Parque Industrial La Matanza S.A.",Parque industrial,Privado,Originario,85/09,N/C,Autovía 3 Km 42.5,-34.8911111111,-58.6994444444,Cdor Guidetti / Ing. Juan Caride,Impacto Inmobiliaria,(011) 4625 - 0525 Cel.11 6028-3356 / (11) 4424-7200,info@pilmsa.com.ar,contacto@pilmsa.com.ar,250,s/d,Si,SI,Si,s/d,s/d,s/d,s/d,27,900,3ra. sección,Conurbano,
060441,La Plata,La Plata,PI La Plata,Parque industrial,Oficial,Originario,"3437/97",N/C,Sobre la Avenida 520 (Ruta Provincial N°13) en la intersección con Ruta Nacional N°2,-35.0463007003739,-58.156299109105,Pedro Leandro Pompilio,Direcor de Procucción,(0221) 491-5469 y 0800-999-5959,parquesindustriales@laplata.gov.ar,lpompilio@laplata.gov.ar,58,28,No,Si,No,"Pavimento, energía, banda de forestación, comunicaciones, gas, agua",s/d,s/d,s/d,15,1000,8va. sección,Conurbano,
060434,Lanús,Lanús,CEPILE,Parque industrial,Mixto,Parcelamiento preexistente,2055/03,N/C,Camino General Belgrano y General Deheza,-34.7683333333,-58.4488888889,Rodolfo Oscar Nadela,Cámara de Empresarios Parque Industrial Lanús Este,(011) 15 31449121 // (011) 4246-0259,oscar.nadela@ar.roca.net,cepile_2@hotmail.com,46,s/d,No,Si,s/d,"Pavimento, energía, cerco perimetral, desagües pluviales, comunicaciones, alumbrado público, gas, agua, cloacas",s/d,s/d,s/d,39,2500,3ra. sección,Conurbano,
060448,Laprida,Barrio Santa Ana, SIP Laprida,Sector industrial,Oficial,Originario,9414/87,N/C,Prolongación Av. Ferreyra a 1000 metros de la estación del Ferrocarril (FFCC) Prolongación Sur,-37.559196,-60.788761,José Damián Vega,"Subsecretaría de Políticas Económicas, Producción y Empleo",(02285) 42-0087/ 1501 /1301 int. 54,mlproduccion@laprida.net,mlsproduccion@laprida.net,11,20,Si,SI,Si,"Consolidado de calles, energía, cero, banda de forestación, desagües pluviales, comunicaciones, alumbrado público, gas, agua, cloacas, servicios comunes",s/d,s/d,s/d,2,50,6ta. sección,Interior,
